appid,wikidata_name,esrb_rating,hltb_id,igdb_id,metacritic_id,opencritic_id,game_engine
2207900,The Work of Your Hands,,,the-work-of-your-hands,,,
2213480,Heralds of Silence. Chapter one,,,heralds-of-silence-chapter-one,,,
2215280,SpikerMan X,,,spikerman-x,,,
2216250,Beta MAX,,,beta-max,,17674,
2217010,Titanic Terror,,,titanic-terror,,,
1969150,Formula Bwoah: Online Multiplayer Racing,,,formula-bwoah,,,
1983390,Regular Luckiest Guy: Love & Blocks,,,regular-luckiest-guy-love-and-blocks,,,
1994040,The Girlfriend From My Novel,,,the-girlfriend-from-my-novel,,,
1994480,Sword and Shadow,,,sword-and-shadow,,,
2012990,Boxman Adventures,,,boxman-adventures,,,
2014500,BATTLEWORKS VR | Online Physics Based PVP,,,,,,
2025810,Lavrynthos,,,lavrynthos,,,
2067280,Devil Dead,,,devils-n-dragons-arcade,,,
2088590,Eleven Sunrises,,,eleven-sunrises,,,
2089630,Dark Atlas: Infernum,,,dark-atlas-infernum,,19699,
2090300,Grim Survivor,,,grim-survivor,,,
2091890,Hidden in the Dark,,,hidden-in-the-dark,,,
2093800,METAL SUITS: Counter-attack,,,metal-suits-counter-attack,,18133,
2097620,Dream Knight,,,dream-knight,,,
2098360,The Descent,,,the-descent--1,,,
2099880,Approval,,,approval,,,
2102230,Call to Strike,,,call-to-strike,,,
2106420,Magic Market,,,magic-market,,,
2107130,BirdsBorough : Town of Alchemy,,,birdsborough-town-of-alchemy,,,
2108870,Square Rounds,,,square-rounds,,,
2111920,Fantasy Climber. Fun Adventure,,,fantasy-climber-fun-adventure,,,
2112530,Space Adventure - Escape from Siphilus 1b,,,space-adventure-escape-from-siphilus-1b,,,
2113350,Heartspell: Horizon Academy,,,heartspell-horizon-academy,,18812,
2192600,Last Dragoon: Awaken,,,dragon-and-archer,,,
573790,Imperium Galactica,Everyone,,imperium-galactica,,,
525700,Birthdays the Beginning,Everyone,,birthdays-the-beginning,,3474,
539660,ChronoClock,,,chronoclock--1,,4012,
676820,Subsurface Circular,,,subsurface-circular,,4736,
544750,Soulcalibur VI,Teen,,soulcalibur-vi,,6694,Unreal Engine 4
521350,Use Your Words,Mature 17+,,use-your-words,,4186,
90044,Zombie Panic!,,,zombie-panic,,,GoldSrc
585880,Once on a windswept night,,,once-on-a-windswept-night,,,Ren'Py
654220,Flash Point: Fire Rescue,,,flash-point-fire-rescue,,,
693580,Goblins of Elderstone,,,goblins-of-elderstone,,,Unreal Engine 4
798490,Othercide,Mature 17+,,othercide,,9872,Q63966
928670,Kids of Hellas: Back to Olympus,,,kids-of-hellas-back-to-olympus,,,
966680,Red Matter,Teen,,red-matter,,6165,
512311,TS Marketplace: BR Porthole Coach Pack 01 Add-On,,,,,,
