appid,name,developer,publisher,positive,negative,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,release_date,required_age,is_free,short_description,supported_languages,platforms_windows,platforms_mac,platforms_linux,metacritic_score,recommendations,achievements,genres,categories
2420880,WitchHand,Jon Nielsen,HopFrog,482,40,"20,000 .. 50,000",0,0,0,0,1199,1199,0,10,"Feb 7, 2024",0,False,"You're a witch, leading your coven into new, unfriendly lands. Use the cards you find to build and expand your civilization. Befriend the local covens or use their bones to fuel your spells. Gather your familiars, the witching hour is nigh.","English, French, German, Polish",True,False,False,,614.0,38.0,"Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing"
975510,Panzer Paladin,Tribute Games Inc.,Tribute Games Inc.,470,150,"20,000 .. 50,000",0,0,0,0,1999,1999,0,0,"Jul 21, 2020",0,False,"Hop in the Paladin power armor, seize melee weapons from the demonic invaders and give them a taste of their own medicine!","English, French, Italian, German, Japanese, Simplified Chinese, Spanish - Latin America",True,False,True,76.0,333.0,30.0,Action,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Steam Leaderboards, Remote Play on TV, Family Sharing"
363860,MythForce,Beamdog,Beamdog,460,183,"20,000 .. 50,000",0,0,0,0,1999,1999,0,4,"Sep 12, 2023",0,False,"MAJOR UPDATE 1.2: SKILL TREES! The wait is over—no better time to jump in than now! Pick your class &amp; tailor your skill tree to match your ideal playstyle. Shake up the experience with Encounter System &amp; Elemental Combos. Stronger, sleeker, and bursting with new thrills—MythForce is ready!","English<strong>*</strong>, French, Italian, German, Spanish - Spain, Portuguese - Brazil, Russian, Simplified Chinese<br><strong>*</strong>languages with full audio support",True,False,False,,426.0,23.0,"Action, Adventure","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing"
536890,Glittermitten Grove,Mostly Tigerproof,,448,94,"20,000 .. 50,000",0,0,0,0,249,999,75,1,"Dec 13, 2016",0,False,"Just like the faeries in your garden, we love collecting berries for our prickleberry loaves and finding treasure with our special fribblesham fireworks. Come join us in our faerieland, full of strange adventure!",English<strong>*</strong><br><strong>*</strong>languages with full audio support,True,True,True,,390.0,0.0,"Simulation, Strategy","Single-player, Remote Play Together, Family Sharing"
418120,Cally's Caves 3,VDO Games,VDO Games,443,104,"20,000 .. 50,000",0,0,0,0,699,699,0,0,"Jan 5, 2016",0,False,"Cally's parents have been abducted, as her arch-enemy Herbert has taken control of the Caves to perform his evil experiments. Join Cally and her friends in this action-packed run and gun platformer, conquering insane bosses, exploring to find secrets, and levelling up EVERYTHING.",English<strong>*</strong><br><strong>*</strong>languages with full audio support,True,False,False,,346.0,64.0,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing"
1585020,JUNKPUNK,SCT,SCT,435,183,"20,000 .. 50,000",0,0,0,0,1599,1599,0,1,"Nov 12, 2021",0,False,"JUNKPUNK is a factory management, base building, exploration game where a New World Robotics ship has crash landed. You and any survivors must restore this ruined planet and prepare it for habitable life. Craft, build, explore, discover, and grow to terraform the planet.","English<strong>*</strong>, French, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Simplified Chinese, Turkish<br><strong>*</strong>languages with full audio support",True,False,False,,637.0,0.0,"Adventure, Casual, Indie, Simulation, Early Access","Single-player, Multi-player, Co-op, Online Co-op, Steam Cloud, Family Sharing"
1374290,Palindrome Syndrome: Escape Room,mc2games,mc2games,424,87,"20,000 .. 50,000",0,0,0,0,999,999,0,0,"Oct 14, 2020",0,False,You wake up in a spaceship with no memories. In this escape room with a sci-fi setting you will have to investigate your past solving different puzzles. Will you be able to discover what happened to you and how did you get there?,"English<strong>*</strong>, Spanish - Spain, French, Italian, German, Simplified Chinese, Korean, Traditional Chinese, Spanish - Latin America, Portuguese - Portugal, Portuguese - Brazil, Russian<br><strong>*</strong>languages with full audio support",True,False,False,,493.0,6.0,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, DualShock Controller Support, DualShock Controller Support, DualSense Controller Support, DualSense Controller Support, Family Sharing"
398810,openCanvas 7,PGN Inc,PGN Inc,400,122,"20,000 .. 50,000",0,0,0,0,5999,5999,0,27,"Sep 20, 2017",0,False,"openCanvas is a painting software dedicated to Windows Operating System, that is suitable to beginners to advanced users. Equipped with analog-like brush strokes and functional yet user-friendly interface, openCanvas has the higher basic performance and the unique &quot;Event&quot; function that enables to record and replay the drawing...","English, Japanese, Simplified Chinese, Traditional Chinese",True,False,False,,447.0,0.0,"Design & Illustration, Photo Editing",Steam Trading Cards
1946070,Ten Dates,"Wales Interactive, Good Gate Media",Wales Interactive,396,105,"20,000 .. 50,000",0,0,0,0,559,1599,65,2,"Feb 13, 2023",0,False,"Ten Dates is the sequel to the interactive rom-com, Five Dates. Misha, a millennial from London in search of that elusive in-person connection, tricks her best friend Ryan into going to a speed dating event with her.","English<strong>*</strong>, Russian, Simplified Chinese, Turkish, French, German, Spanish - Spain<br><strong>*</strong>languages with full audio support",True,True,False,,503.0,19.0,Adventure,"Single-player, Steam Achievements, Full controller support, DualShock Controller Support, DualShock Controller Support, DualSense Controller Support, DualSense Controller Support, Steam Cloud, Family Sharing"
1016360,PERISH,ITEM42,HandyGames,384,147,"20,000 .. 50,000",0,0,0,0,1999,1999,0,1,"Feb 2, 2023",0,False,"PERISH is a stylish 1-4 player FPS with a cross to bear. Slay hordes of creatures on the black sands of Purgatory and sell their gold-stained corpses to craven priests. Kill magnificent bosses and use the proceeds to gain entrance to Elysium, a place of cosmic revelations.","English<strong>*</strong>, French, Italian, German, Spanish - Spain, Czech, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Thai, Traditional Chinese, Turkish<br><strong>*</strong>languages with full audio support",True,False,False,62.0,363.0,67.0,"Action, Indie","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Cloud, Remote Play on TV, Family Sharing"
